Date,Time,Latitude,Longitude,Depth,Mag,Magt,Nst,Gap,Clo,RMS,SRC,EventID
 1982/02/06 , 12:02:01.63 , 41.0795 , -125.1630 , 5.36 , 5.20 , ML , 55 , 295 , 91 , 0.19 , NCSN ,-1071859
 1982/04/15 , 21:52:08.30 , 38.0637 , -118.5620 , 23.31 , 5.10 , ML , 48 , 137 , 83 , 0.18 , NCSN ,-1073758
 1982/09/24 , 07:40:24.10 , 37.8533 , -118.1565 , 11.73 , 5.50 , ML , 27 , 103 , 17 , 0.09 , NCSN ,-1079456
 1982/10/25 , 22:26:03.60 , 36.3198 , -120.5062 , 11.92 , 5.40 , ML , 61 , 88 , 12 , 0.11 , NCSN ,-1080786
 1983/01/07 , 01:38:10.04 , 37.6215 , -118.9018 , 7.00 , 5.40 , ML , 5 , 188 , 18 , 0.00 , NCSN ,-1084030
 1983/01/07 , 03:24:18.97 , 37.6287 , -118.9350 , 6.09 , 5.30 , ML , 11 , 110 , 3 , 0.04 , NCSN ,-1084082
 1983/05/02 , 23:42:38.06 , 36.2317 , -120.3120 , 10.18 , 6.70 , ML , 54 , 137 , 3 , 0.07 , NCSN ,-1091114
 1983/05/09 , 02:49:11.54 , 36.2463 , -120.3008 , 13.20 , 5.20 , ML , 59 , 32 , 3 , 0.09 , NCSN ,-1093729
 1983/05/29 , 06:55:28.57 , 40.4135 , -126.0498 , 5.12 , 5.40 , ML , 15 , 305 , 145 , 0.06 , NCSN ,-1095725
 1983/07/03 , 18:40:07.63 , 37.5570 , -118.8458 , 11.14 , 5.30 , ML , 20 , 113 , 4 , 0.04 , NCSN ,-1098023
 1983/07/22 , 02:39:53.96 , 36.2357 , -120.4138 , 7.80 , 5.37 , Mx , 46 , 47 , 7 , 0.09 , NCSN ,-1098997
 1983/07/25 , 22:31:39.48 , 36.2245 , -120.4023 , 8.75 , 5.04 , Md , 46 , 41 , 6 , 0.08 , NCSN ,-1099304
 1983/08/24 , 13:36:28.83 , 40.3720 , -124.9245 , 11.67 , 5.50 , ML , 41 , 257 , 54 , 0.14 , NCSN ,-1100986
 1983/08/29 , 10:10:30.83 , 35.8300 , -121.3555 , 10.38 , 5.20 , ML , 98 , 180 , 7 , 0.19 , NCSN ,-1101440
 1983/09/09 , 09:16:13.51 , 36.2198 , -120.2797 , 7.18 , 5.47 , Md , 45 , 125 , 7 , 0.05 , NCSN ,-1102239
 1983/12/20 , 10:41:02.25 , 40.4080 , -125.6465 , 8.13 , 5.66 , ML , 84 , 287 , 118 , 0.23 , NCSN ,-1108772
 1984/01/23 , 05:40:19.61 , 36.3767 , -121.8957 , 7.22 , 5.10 , ML , 140 , 192 , 20 , 0.21 , NCSN ,-1110311
 1984/02/16 , 11:14:56.93 , 39.9912 , -117.8425 , 0.73 , 5.05 , ML , 9 , 195 , 72 , 0.22 , NCSN ,-1111410
 1984/02/28 , 15:16:14.12 , 40.4308 , -125.1952 , 8.31 , 5.20 , ML , 55 , 277 , 73 , 0.13 , NCSN ,8089
 1984/04/24 , 21:15:18.76 , 37.3097 , -121.6788 , 8.53 , 6.20 , ML , 98 , 26 , 6 , 0.06 , NCSN ,17204
 1984/09/10 , 03:14:28.10 , 40.5038 , -125.1303 , 4.90 , 6.60 , ML , 51 , 262 , 67 , 1.18 , NCSN ,27615
 1984/11/23 , 18:08:25.36 , 37.4597 , -118.6072 , 10.99 , 6.10 , ML , 30 , 66 , 13 , 0.08 , NCSN ,32321
 1984/11/23 , 19:12:34.68 , 37.4322 , -118.6072 , 13.06 , 5.50 , ML , 46 , 80 , 3 , 0.06 , NCSN ,32650
 1984/11/26 , 16:21:40.81 , 37.4473 , -118.6477 , 9.19 , 5.60 , ML , 34 , 125 , 10 , 0.05 , NCSN ,39753
 1985/01/24 , 11:27:20.99 , 38.1565 , -118.8155 , 12.29 , 5.20 , ML , 54 , 68 , 17 , 0.07 , NCSN ,38526
 1985/02/08 , 06:58:16.41 , 35.4620 , -118.9072 , 20.83 , 5.00 , ML , 83 , 73 , 39 , 0.24 , NCSN ,40330
 1985/03/25 , 16:05:12.75 , 37.4525 , -118.6117 , 8.10 , 5.10 , ML , 44 , 57 , 2 , 0.05 , NCSN ,44669
 1985/08/04 , 12:01:55.87 , 36.1430 , -120.1563 , 16.33 , 5.60 , ML , 39 , 163 , 10 , 0.08 , NCSN ,52348
 1986/01/26 , 19:20:50.95 , 36.8043 , -121.2850 , 8.41 , 5.50 , ML , 81 , 27 , 7 , 0.05 , NCSN ,64626
 1986/03/31 , 11:55:39.81 , 37.4792 , -121.6867 , 9.01 , 5.70 , ML , 84 , 65 , 3 , 0.06 , NCSN ,68932
 1986/07/08 , 09:20:44.58 , 34.0020 , -116.6138 , 10.11 , 6.60 , ML , 47 , 47 , 4 , 0.06 , NCSN ,10057081
 1986/07/13 , 13:47:13.03 , 33.0310 , -118.5640 , 4.33 , 5.80 , ML , 126 , 314 , 193 , 0.94 , NCSN ,76440
 1986/07/20 , 14:29:45.44 , 37.5667 , -118.4382 , 6.83 , 5.90 , ML , 39 , 54 , 9 , 0.04 , NCSN ,99451
 1986/07/21 , 14:42:26.00 , 37.5380 , -118.4428 , 10.59 , 6.40 , ML , 41 , 55 , 10 , 0.06 , NCSN ,10085763
 1986/07/21 , 14:51:09.37 , 37.4932 , -118.4538 , 10.72 , 5.70 , ML , 27 , 198 , 13 , 0.04 , NCSN ,10085764
 1986/07/21 , 22:07:15.64 , 37.6213 , -118.3425 , 2.62 , 5.60 , ML , 18 , 296 , 37 , 0.05 , NCSN ,95459
 1986/07/22 , 13:48:59.15 , 37.5258 , -118.4715 , 12.64 , 5.00 , ML , 32 , 65 , 9 , 0.04 , NCSN ,92934
 1986/07/31 , 07:22:39.77 , 37.4732 , -118.3687 , 7.37 , 5.80 , ML , 43 , 81 , 6 , 0.07 , NCSN ,78895
 1986/08/01 , 14:28:18.15 , 37.5103 , -118.3990 , 9.58 , 5.10 , ML , 25 , 50 , 8 , 0.08 , NCSN ,85660
 1986/08/06 , 23:21:56.87 , 39.3463 , -123.5353 , 82.76 , 5.16 , Md , 6 , 329 , 5 , 0.07 , NCSN ,-1228722
 1986/11/21 , 23:33:01.70 , 40.3605 , -124.4062 , 16.01 , 5.10 , ML , 18 , 225 , 14 , 0.08 , NCSN ,88508
 1986/11/21 , 23:34:18.97 , 40.3590 , -124.3978 , 15.96 , 5.10 , ML , 4 , 240 , 14 , 0.00 , NCSN ,88509
 1987/02/14 , 07:26:50.29 , 36.1723 , -120.3405 , 15.67 , 5.30 , ML , 46 , 51 , 9 , 0.10 , NCSN ,10089611
 1987/07/31 , 23:56:57.83 , 40.4157 , -124.3827 , 17.61 , 5.60 , ML , 19 , 243 , 8 , 0.06 , NCSN ,10083966
 1987/10/01 , 14:42:18.65 , 34.0208 , -118.1025 , 11.15 , 6.10 , ML , 47 , 198 , 67 , 0.20 , NCSN ,10084972
 1987/10/04 , 10:59:35.37 , 33.9715 , -118.1447 , 0.05 , 5.60 , ML , 28 , 207 , 123 , 0.16 , NCSN ,10084990
 1987/11/24 , 13:16:21.82 , 34.5075 , -117.1648 , 2.50 , 5.44 , Md , 28 , 312 , 125 , 0.28 , NCSN ,-1153518
 1988/02/20 , 08:39:57.26 , 36.7958 , -121.3112 , 9.42 , 5.10 , ML , 81 , 26 , 3 , 0.07 , NCSN ,10086194
 1988/06/10 , 23:06:42.51 , 34.9490 , -118.7402 , 10.30 , 5.40 , ML , 63 , 94 , 25 , 0.19 , NCSN ,119406
 1988/06/13 , 01:45:36.53 , 37.3927 , -121.7415 , 9.54 , 5.30 , ML , 94 , 29 , 4 , 0.06 , NCSN ,10087352
 1988/06/26 , 15:04:59.02 , 34.1530 , -117.7787 , 9.48 , 5.00 , ML , 10 , 235 , 9 , 0.06 , NCSN ,119613
 1988/06/27 , 18:43:22.33 , 37.1283 , -121.8950 , 13.15 , 5.30 , ML , 87 , 45 , 5 , 0.09 , NCSN ,10139668
 1988/09/19 , 02:56:31.25 , 38.4608 , -118.3413 , 9.35 , 5.30 , ML , 55 , 65 , 16 , 0.10 , NCSN ,10087893
 1988/12/03 , 11:38:24.26 , 34.0805 , -118.1008 , 7.12 , 5.00 , ML , 41 , 286 , 105 , 0.18 , NCSN ,-1159925
 1988/12/16 , 05:53:08.05 , 34.1588 , -116.9058 , 5.02 , 5.30 , ML , 19 , 298 , 169 , 0.07 , NCSN ,10088532
 1989/01/19 , 06:53:26.91 , 33.8533 , -118.6612 , 4.37 , 5.30 , ML , 90 , 275 , 108 , 0.23 , NCSN ,10088651
 1989/03/03 , 07:04:01.78 , 35.7743 , -124.2902 , 5.00 , 5.00 , ML , 29 , 330 , 232 , 0.28 , NCSN ,-1161394
 1989/08/08 , 08:13:27.39 , 37.1482 , -121.9268 , 13.98 , 5.40 , ML , 86 , 51 , 2 , 0.09 , NCSN ,10089897
 1989/10/18 , 00:04:15.19 , 37.0362 , -121.8798 , 17.43 , 7.00 , ML , 80 , 89 , 1 , 0.08 , NCSN ,216859
 1989/10/18 , 00:41:23.77 , 37.1902 , -122.0520 , 15.75 , 5.10 , ML , 50 , 57 , 3 , 0.09 , NCSN ,10090725
 1990/01/16 , 20:08:20.46 , 40.2425 , -124.2975 , 5.00 , 5.40 , ML , 142 , 247 , 70 , 0.20 , NCSN ,10090568
 1990/02/28 , 23:43:44.23 , 34.3758 , -118.2000 , 22.09 , 6.20 , ML , 104 , 277 , 82 , 0.33 , NCSN ,10090831
 1990/04/18 , 13:53:51.30 , 36.9323 , -121.6568 , 5.63 , 5.40 , ML , 95 , 36 , 0 , 0.11 , NCSN ,20091154
 1990/04/18 , 15:46:03.45 , 36.9588 , -121.6845 , 6.79 , 5.10 , ML , 82 , 28 , 1 , 0.09 , NCSN ,20091155
 1990/10/24 , 06:15:19.95 , 38.0618 , -119.1192 , 13.45 , 5.80 , ML , 112 , 173 , 40 , 0.13 , NCSN ,20092556
 1991/06/28 , 14:43:54.45 , 34.2890 , -118.0515 , 8.12 , 5.70 , ML , 92 , 268 , 89 , 0.15 , NCSN ,222284
 1991/07/13 , 02:50:15.18 , 42.0188 , -125.7165 , 4.43 , 6.60 , ML , 82 , 304 , 170 , 0.29 , NCSN ,224258
 1991/08/16 , 22:26:14.25 , 41.6612 , -125.8455 , 3.36 , 6.10 , ML , 116 , 296 , 162 , 0.12 , NCSN ,227958
 1991/08/17 , 19:29:40.00 , 40.2517 , -124.2858 , 9.05 , 6.00 , ML , 30 , 196 , 25 , 0.09 , NCSN ,228027
 1991/08/17 , 22:17:09.97 , 41.6790 , -125.8560 , 2.55 , 6.50 , ML , 89 , 295 , 163 , 0.09 , NCSN ,228064
 1991/09/17 , 21:10:29.02 , 35.8103 , -121.3348 , 9.77 , 5.20 , ML , 61 , 167 , 5 , 0.09 , NCSN ,231726
 1992/03/08 , 03:43:04.05 , 40.2327 , -124.2625 , 10.21 , 5.32 , Md , 18 , 202 , 28 , 0.06 , NCSN ,255182
 1992/04/23 , 04:50:22.61 , 33.9410 , -116.3868 , 12.16 , 6.26 , Md , 53 , 152 , 92 , 0.27 , NCSN ,266571
 1992/04/25 , 18:06:05.18 , 40.3353 , -124.2287 , 10.55 , 6.95 , ML , 7 , 115 , 12 , 0.07 , NCSN ,269151
 1992/04/26 , 07:41:40.09 , 40.4325 , -124.5660 , 19.57 , 6.50 , ML , 30 , 248 , 20 , 0.12 , NCSN ,268031
 1992/04/26 , 11:18:25.98 , 40.3828 , -124.5550 , 22.62 , 6.60 , ML , 20 , 247 , 21 , 0.07 , NCSN ,268078
 1992/06/28 , 11:57:35.39 , 34.1860 , -116.4612 , 20.12 , 7.39 , Md , 174 , 161 , 114 , 0.53 , NCSN ,300265
 1992/06/28 , 14:43:29.37 , 34.5792 , -117.4008 , 2.47 , 5.02 , Md , 19 , 293 , 157 , 0.19 , NCSN ,300303
 1992/06/28 , 16:10:17.11 , 35.0977 , -117.7555 , 91.43 , 5.30 , Md , 6 , 297 , 50 , 0.25 , NCSN ,-1196038
 1992/06/29 , 10:14:23.13 , 36.6355 , -116.3628 , 6.99 , 5.33 , Md , 68 , 277 , 138 , 0.11 , NCSN ,300801
 1992/06/29 , 16:01:52.00 , 34.2200 , -116.8102 , 22.66 , 5.30 , Md , 42 , 291 , 115 , 0.15 , NCSN ,300944
 1992/07/05 , 21:18:35.94 , 34.8138 , -117.0163 , 15.43 , 5.19 , Md , 172 , 283 , 97 , 0.34 , NCSN ,302779
 1992/07/11 , 18:14:15.73 , 35.2090 , -118.0620 , 12.39 , 5.15 , Md , 39 , 113 , 23 , 0.16 , NCSN ,306133
 1992/09/15 , 08:47:18.25 , 34.3355 , -116.8128 , 21.47 , 5.08 , Md , 38 , 281 , 82 , 0.10 , NCSN ,315806
 1992/11/27 , 16:01:06.51 , 34.6070 , -117.3998 , 34.92 , 5.30 , Md , 71 , 282 , 123 , 0.15 , NCSN ,327178
 1992/12/04 , 02:09:06.03 , 34.6342 , -117.4150 , 24.58 , 5.02 , Md , 61 , 280 , 122 , 0.16 , NCSN ,327816
 1993/03/25 , 13:34:44.55 , 44.4827 , -123.3358 , 5.00 , 5.09 , Md , 259 , 312 , 247 , 2.43 , NCSN ,341256
 1993/05/17 , 23:20:48.89 , 37.1658 , -117.7803 , 0.73 , 6.36 , Md , 134 , 212 , 49 , 0.14 , NCSN ,349631
 1993/09/21 , 03:28:55.10 , 42.3077 , -122.0705 , 6.87 , 5.57 , Md , 121 , 239 , 77 , 0.38 , NCSN ,30029004
 1993/09/21 , 05:45:34.37 , 42.3718 , -122.0778 , 6.08 , 5.80 , Md , 127 , 244 , 83 , 0.31 , NCSN ,30029039
 1993/12/04 , 22:15:19.67 , 42.2868 , -122.0170 , 5.00 , 5.20 , Md , 16 , 112 , 8 , 0.16 , NCSN ,30036735
 1994/01/17 , 12:30:54.71 , 34.2250 , -118.5515 , 14.26 , 6.89 , Md , 60 , 197 , 45 , 0.09 , NCSN ,391371
 1994/01/17 , 23:33:27.78 , 34.2145 , -118.6762 , 3.89 , 6.04 , Md , 87 , 250 , 40 , 0.15 , NCSN ,391527
 1994/01/18 , 00:43:08.09 , 34.3578 , -118.7200 , 13.24 , 5.12 , Md , 82 , 154 , 23 , 0.18 , NCSN ,391539
 1994/01/19 , 21:09:27.61 , 34.3480 , -118.7197 , 14.95 , 5.50 , Md , 88 , 156 , 24 , 0.16 , NCSN ,392078
 1994/01/19 , 21:11:43.91 , 34.3518 , -118.6560 , 12.72 , 5.19 , Md , 36 , 176 , 57 , 0.22 , NCSN ,392079
 1994/09/01 , 15:15:48.31 , 40.4055 , -126.3028 , 5.35 , 6.91 , Md , 245 , 271 , 167 , 0.34 , NCSN ,30056327
 1994/09/12 , 12:23:43.03 , 38.8082 , -119.6925 , 0.04 , 5.55 , Md , 290 , 162 , 86 , 0.33 , NCSN ,30057098
 1994/12/26 , 14:10:29.18 , 40.7383 , -124.3028 , 23.50 , 5.13 , Md , 26 , 194 , 29 , 0.07 , NCSN ,30065114
 1995/02/19 , 04:03:14.94 , 40.5918 , -125.7567 , 5.00 , 6.40 , Md , 160 , 273 , 121 , 0.27 , NCSN ,30068187
 1997/03/18 , 15:24:52.51 , 35.0268 , -117.1325 , 23.77 , 5.08 , Md , 169 , 277 , 104 , 0.47 , NCSN ,498428
 1997/10/26 , 10:44:06.41 , 41.0663 , -125.3235 , 4.98 , 5.24 , ML , 190 , 232 , 106 , 0.26 , NCSN ,528810
 1997/11/02 , 08:51:52.78 , 37.8787 , -118.1660 , 9.05 , 5.04 , Md , 40 , 252 , 27 , 0.10 , NCSN ,30148579
 1998/06/09 , 05:24:40.16 , 37.5885 , -118.7957 , 6.97 , 5.13 , ML , 30 , 63 , 3 , 0.04 , NCSN ,30177872
 1998/07/15 , 04:53:19.26 , 37.5638 , -118.8060 , 6.27 , 5.11 , ML , 30 , 92 , 4 , 0.04 , NCSN ,30184459
 1998/08/12 , 14:10:25.14 , 36.7545 , -121.4615 , 9.11 , 5.35 , ML , 78 , 35 , 4 , 0.19 , NCSN ,30190473
 1998/10/30 , 09:53:31.57 , 39.2843 , -120.0453 , 2.41 , 5.35 , ML , 280 , 154 , 70 , 0.26 , NCSN ,30204269
 1998/11/26 , 19:49:53.69 , 40.6232 , -122.4080 , 24.21 , 5.18 , ML , 32 , 45 , 11 , 0.20 , NCSN ,30207228
 1999/05/15 , 13:22:10.66 , 37.5297 , -118.8172 , 5.62 , 5.60 , Mw , 30 , 112 , 6 , 0.04 , NCSN ,21014765
 1999/10/16 , 09:46:46.39 , 34.6028 , -116.3380 , 24.00 , 5.23 , Md , 48 , 216 , 132 , 0.21 , NCSN ,21059631
 2000/09/03 , 08:36:30.11 , 38.3788 , -122.4133 , 9.87 , 5.17 , ML , 75 , 34 , 3 , 0.15 , NCSN ,21123384
 2001/01/13 , 13:08:42.10 , 40.7557 , -125.2445 , 2.61 , 5.19 , ML , 155 , 233 , 83 , 0.26 , NCSN ,21143281
 2001/08/10 , 20:19:27.06 , 39.8112 , -120.6167 , 6.99 , 5.50 , ML , 76 , 111 , 35 , 0.34 , NCSN ,21188442
 2002/06/17 , 16:55:07.68 , 40.8098 , -124.5520 , 18.06 , 5.09 , ML , 63 , 225 , 41 , 0.16 , NCSN ,21231051
